Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCZ23,2023-08-02,507.25,523.25,497.5,500.5,-6.75,-1.33%,521681,1300649
ZCZ23,2023-08-01,513.25,517.25,505.5,507.25,-5.75,-1.12%,340208,1317852
ZCZ23,2023-07-31,524.5,524.5,508,513,-17.25,-3.25%,341460,1304298
ZCZ23,2023-07-28,542.25,547.5,525.5,530.25,-12.,-2.21%,298578,1304819
ZCZ23,2023-07-27,548,555,541.5,542.25,-6.,-1.09%,272715,1306968
ZCZ23,2023-07-26,565,565,544.75,548.25,-17.,-3.01%,294071,1289375
ZCZ23,2023-07-25,567.75,572,553.75,565.25,-3.,-0.53%,321168,1280207
ZCZ23,2023-07-24,543,572.25,540.25,568.25,32,+5.97%,415692,1285279
ZCZ23,2023-07-21,545.5,546.25,531.25,536.25,-10.,-1.83%,337274,1284268
ZCZ23,2023-07-20,553.25,563.25,542.25,546.25,-6.75,-1.22%,384807,1281484
ZCZ23,2023-07-19,532.75,563.75,531.5,553,18.5,+3.46%,662475,1276006
ZCZ23,2023-07-18,504,540.75,502,534.5,28.5,+5.63%,453486,1285176
ZCZ23,2023-07-17,519.25,526.5,503.25,506,-7.75,-1.51%,299912,1282525
ZCZ23,2023-07-14,500,515.75,497.25,513.75,13.25,+2.65%,337295,1279890
ZCZ23,2023-07-13,484.25,501.25,481,500.5,16.75,+3.46%,297404,1281953
ZCZ23,2023-07-12,500.5,505.5,481.75,483.75,-17.75,-3.54%,460163,1265318
ZCZ23,2023-07-11,496,506.5,493.75,501.5,2,+0.40%,253329,1241940
ZCZ23,2023-07-10,497,503.25,494.5,499.5,5,+1.01%,203123,1251843
ZCZ23,2023-07-07,507,509.5,493.5,494.5,-12.,-2.37%,229002,1259276
ZCZ23,2023-07-06,495.75,508.25,492.5,506.5,13,+2.63%,286648,1271877
ZCZ23,2023-07-05,504,504,485.5,493.5,0,0.00%,397722,1263091
ZCZ23,2023-07-03,492.25,505,488.75,493.5,-1.25,-0.25%,370093,1246983
ZCZ23,2023-06-30,532,537.5,493,494.75,-33.75,-6.39%,751217,1234388
ZCZ23,2023-06-29,539,543.25,526.25,528.5,-8.25,-1.54%,410460,1210278
ZCZ23,2023-06-28,562,562.5,534,536.75,-24.25,-4.32%,606728,1215370
ZCZ23,2023-06-27,593.75,594.5,555,561,-27.25,-4.63%,555262,1246075
ZCZ23,2023-06-26,594,600.75,575.5,588.25,0.25,+0.04%,505890,1282065
ZCZ23,2023-06-23,616.5,616.75,583.5,588,-32.75,-5.28%,613541,1261154
ZCZ23,2023-06-22,624.75,626.5,613.25,620.75,-8.,-1.27%,486453,1300532
ZCZ23,2023-06-21,609,629.75,604.5,628.75,31.25,+5.23%,652424,1306709
ZCZ23,2023-06-20,600,609,588.5,597.5,0,0.00%,599537,1290348
ZCZ23,2023-06-16,573.5,598,572.5,597.5,23,+4.00%,788046,1286324
ZCZ23,2023-06-15,549.75,575,549.75,574.5,25.25,+4.60%,630371,1274340
ZCZ23,2023-06-14,547.25,553,542.5,549.25,-2.,-0.36%,500640,1270899
ZCZ23,2023-06-13,549,559.5,543.25,551.25,2,+0.36%,542158,1295247
ZCZ23,2023-06-12,537,550.75,536.75,549.25,-55.,-9.10%,514370,1296488
ZCN23,2023-06-09,608.25,609,597.5,604.25,-6.,-0.98%,404315,1299428
ZCN23,2023-06-08,600,613.25,595.25,610.25,6,+0.99%,450156,1306358
ZCN23,2023-06-07,605,612.5,601.75,604.25,-3.75,-0.62%,399158,1307158
ZCN23,2023-06-06,599.75,610.75,599.75,608,10.5,+1.76%,430586,1322137
ZCN23,2023-06-05,609,614,595,597.5,-11.5,-1.89%,359977,1323577
ZCN23,2023-06-02,592.5,610.5,581.25,609,16.5,+2.78%,425951,1336982
ZCN23,2023-06-01,594,606,591.75,592.5,-1.5,-0.25%,341327,1331293
ZCN23,2023-05-31,594.25,594.75,577.5,594,0,0.00%,346675,1332173
ZCN23,2023-05-30,603.75,605,591.5,594,-10.,-1.66%,394696,1319205
ZCN23,2023-05-26,590.25,606.75,588.25,604,13.25,+2.24%,407335,1328067
ZCN23,2023-05-25,587.5,593,583.5,590.75,3.5,+0.60%,294801,1323155
ZCN23,2023-05-24,577,589.75,574,587.25,9.75,+1.69%,357203,1312355
ZCN23,2023-05-23,570.25,580.75,564,577.5,6.5,+1.14%,288897,1299841
ZCN23,2023-05-22,554.75,575.5,553.25,571,16.5,+2.98%,301242,1295144
ZCN23,2023-05-19,555,571.75,551.5,554.5,-0.75,-0.14%,433923,1287637
ZCN23,2023-05-18,561.25,561.75,547,555.25,-6.25,-1.11%,405423,1284576
ZCN23,2023-05-17,581.75,582.75,554.25,561.5,-19.75,-3.40%,540454,1297722
ZCN23,2023-05-16,592,593,578.25,581.25,-11.25,-1.90%,294613,1299501
ZCN23,2023-05-15,581.5,598.75,581.5,592.5,6.25,+1.07%,334091,1292528
ZCN23,2023-05-12,581,593.75,572.75,586.25,4,+0.69%,364339,1295294
ZCN23,2023-05-11,591,592.75,580.75,582.25,-11.75,-1.98%,304654,1284150
ZCN23,2023-05-10,585.25,596,579,594,9.25,+1.58%,374831,1278189
ZCN23,2023-05-09,595,595,581,584.75,-11.75,-1.97%,347447,1269874
ZCN23,2023-05-08,596.5,600,593.75,596.5,0,0.00%,257977,1259705
ZCN23,2023-05-05,588.75,599.25,588.5,596.5,7.5,+1.27%,260117,1251115
ZCN23,2023-05-04,588.5,592,579,589,0.5,+0.08%,295556,1248774
ZCN23,2023-05-03,579,590.75,569.25,588.5,8.5,+1.47%,351336,1227035
ZCN23,2023-05-02,584.5,590.5,578.25,580,-4.5,-0.77%,328289,1223954
ZCN23,2023-05-01,584.5,587.5,577.5,584.5,-0.5,-0.09%,295568,1220061
ZCN23,2023-04-28,581.25,587.75,572,585,3.5,+0.60%,440171,1207234
ZCN23,2023-04-27,601.75,602.5,580.5,581.5,-19.5,-3.24%,535522,1202698
ZCN23,2023-04-26,608.25,612,600.75,601,-6.75,-1.11%,301959,1214458
ZCN23,2023-04-25,609,610.5,601,607.75,0.25,+0.04%,398532,1242943
ZCN23,2023-04-24,615.5,618,604.25,607.5,-7.75,-1.26%,506179,1260337
ZCN23,2023-04-21,626.75,627.75,611,615.25,-10.75,-1.72%,461213,1292903
ZCN23,2023-04-20,636.5,637.25,622,626,-10.5,-1.65%,400628,1308964
ZCN23,2023-04-19,643.5,644,636,636.5,-8.,-1.24%,342177,1313138
ZCN23,2023-04-18,641.5,647.5,637.25,644.5,2,+0.31%,367039,1319551
ZCN23,2023-04-17,635,642.75,631,642.5,6.75,+1.06%,384257,1318336
ZCN23,2023-04-14,626,637.5,623,635.75,10.25,+1.64%,384385,1342752
ZCN23,2023-04-13,627.5,633,624.5,625.5,-2.25,-0.36%,354322,1331306
ZCN23,2023-04-12,626,630.5,624.25,627.75,0,0.00%,358491,1328326
ZCN23,2023-04-11,630.5,634,623.75,627.75,-26.25,-4.01%,445680,1338484
ZCK23,2023-04-10,644.5,655,640.25,654,10.5,+1.63%,338006,1336082
ZCK23,2023-04-06,652.25,652.5,641.75,643.5,-9.25,-1.42%,310744,1345800
ZCK23,2023-04-05,653.75,660,646.5,652.75,-1.,-0.15%,310738,1329053
ZCK23,2023-04-04,657,657.5,648.5,653.75,-4.,-0.61%,320183,1334671
ZCK23,2023-04-03,659.5,668.5,656,657.75,-2.75,-0.42%,347439,1342897
ZCK23,2023-03-31,648.75,664.5,647.25,660.5,11,+1.69%,499788,1337031
ZCK23,2023-03-30,649.75,654.75,648,649.5,-1.,-0.15%,263975,1335569
ZCK23,2023-03-29,646.25,655.5,645.75,650.5,3.25,+0.50%,336378,1337560
ZCK23,2023-03-28,646.75,651.25,644.5,647.25,-1.,-0.15%,291260,1345886
ZCK23,2023-03-27,643,648.75,637,648.25,5.25,+0.82%,318678,1354103
ZCK23,2023-03-24,631,645,627.5,643,11.25,+1.78%,379748,1356514
ZCK23,2023-03-23,633,644,627.25,631.75,-1.75,-0.28%,365508,1367031
ZCK23,2023-03-22,631.25,636,623.25,633.5,3.5,+0.56%,326983,1358431
ZCK23,2023-03-21,632.75,638.25,628.75,630,-3.,-0.47%,261833,1349372
ZCK23,2023-03-20,633,634,625,633,-1.25,-0.20%,215463,1344807
ZCK23,2023-03-17,633.25,638.75,630.25,634.25,1.5,+0.24%,270759,1346712
ZCK23,2023-03-16,626,635,624.75,632.75,6.25,+1.00%,329983,1339425
ZCK23,2023-03-15,623.75,629,619.25,626.5,5.75,+0.93%,294939,1333383
ZCK23,2023-03-14,612.75,621.75,609.25,620.75,7.25,+1.18%,312799,1336811
ZCK23,2023-03-13,619,620.25,608.5,613.5,-3.75,-0.61%,292249,1327045
ZCK23,2023-03-10,612.5,619,606.75,617.25,5.75,+0.94%,277377,1328565
ZCK23,2023-03-09,625.5,629.75,610.25,611.5,-14.,-2.24%,437344,1319521
ZCK23,2023-03-08,635,637.5,624.5,625.5,-8.75,-1.38%,355097,1292531
ZCK23,2023-03-07,637.5,638.75,633.25,634.25,-2.75,-0.43%,222009,1278143
ZCK23,2023-03-06,639,640.25,634,637,-2.75,-0.43%,216170,1271964
ZCK23,2023-03-03,634,642.75,632.25,639.75,6,+0.95%,249819,1273259
ZCK23,2023-03-02,637,641.5,630.75,633.75,-2.,-0.31%,336958,1272069
ZCK23,2023-03-01,631,637.75,622.25,635.75,5.5,+0.87%,458909,1260423
ZCK23,2023-02-28,643.25,646.75,630,630.25,-13.25,-2.06%,413225,1248175
ZCK23,2023-02-27,650.25,652.25,643,643.5,-5.75,-0.89%,453390,1240185
