Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
D2K12,2012-05-10,-1671.55,-1671.55,-1671.55,-1671.55,0.182,-0.01%,60,820
D2K12,2012-05-09,-1671.732,-1671.732,-1671.732,-1671.732,-0.5,+0.03%,0,760
D2K12,2012-05-08,-1671.232,-1671.232,-1671.232,-1671.232,0.772,-0.05%,0,760
D2K12,2012-05-07,-1672.004,-1672.004,-1672.004,-1672.004,2.451,-0.15%,20,760
D2K12,2012-05-04,-1674.455,-1674.455,-1674.455,-1674.455,1,-0.06%,0,780
D2K12,2012-05-03,-1675.455,-1675.455,-1675.455,-1675.455,1.913,-0.11%,50,780
D2K12,2012-05-02,-1677.368,-1677.368,-1677.368,-1677.368,0,0.00%,0,760
D2K12,2012-05-01,-1677.368,-1677.368,-1677.368,-1677.368,-1.,+0.06%,0,760
D2K12,2012-04-30,-1676.368,-1676.368,-1676.368,-1676.368,-1.,+0.06%,0,760
D2K12,2012-04-27,-1675.368,-1675.368,-1675.368,-1675.368,0,0.00%,0,945
D2K12,2012-04-26,-1675.368,-1675.368,-1675.368,-1675.368,-1.,+0.06%,0,945
D2K12,2012-04-25,-1674.368,-1674.368,-1674.368,-1674.368,-4.,+0.24%,0,945
D2K12,2012-04-24,-1670.368,-1670.368,-1670.368,-1670.368,1,-0.06%,20,945
D2J12,2012-04-23,-1671.368,-1671.368,-1671.368,-1671.368,-0.026,0.00%,0,965
D2J12,2012-04-20,-1671.342,-1671.342,-1671.342,-1671.342,0,0.00%,0,965
D2J12,2012-04-19,-1671.342,-1671.342,-1671.342,-1671.342,-0.474,+0.03%,10,965
D2J12,2012-04-18,-1670.868,-1670.868,-1670.868,-1670.868,-0.052,0.00%,0,965
D2J12,2012-04-17,-1670.816,-1670.816,-1670.816,-1670.816,-0.053,0.00%,30,965
D2J12,2012-04-16,-1670.763,-1670.763,-1670.763,-1670.763,-1.947,+0.12%,0,965
D2J12,2012-04-13,-1668.816,-1668.816,-1668.816,-1668.816,0.579,-0.03%,30,965
D2J12,2012-04-12,-1669.395,-1669.395,-1669.395,-1669.395,2.947,-0.18%,0,995
D2J12,2012-04-11,-1672.342,-1672.342,-1672.342,-1672.342,-0.816,+0.05%,60,995
D2J12,2012-04-10,-1671.526,-1671.526,-1671.526,-1671.526,-2.631,+0.16%,0,965
D2J12,2012-04-09,-1668.895,-1668.895,-1668.895,-1668.895,-0.045,0.00%,0,965
D2J12,2012-04-05,-1668.85,-1668.85,-1668.85,-1668.85,-0.143,+0.01%,0,965
D2J12,2012-04-04,-1668.707,-1668.707,-1668.707,-1668.707,7.619,-0.45%,0,965
D2J12,2012-04-03,-1676.326,-1676.326,-1676.326,-1676.326,3.095,-0.18%,30,965
D2J12,2012-04-02,-1679.421,-1679.421,-1679.421,-1679.421,2,-0.12%,0,955
D2J12,2012-03-30,-1681.421,-1681.421,-1681.421,-1681.421,0,0.00%,10,1153
D2J12,2012-03-29,-1681.421,-1681.421,-1681.421,-1681.421,-1.,+0.06%,60,1153
D2J12,2012-03-28,-1680.421,-1680.421,-1680.421,-1680.421,2,-0.12%,0,1093
